BeidenBestenTeiler ; <keine> ; 1 ; 3 ; 52 ; Match ; 0 ; 9. ; 9,1 ; k ; 746,3 ; 1249,8 ; 1455,67 ; 59,157 ; 18:21:01 ; 244,2336 ; 16.07.2016 ; SpO 1.80 ; frei ; 
BeidenBestenTeiler ; <keine> ; 1 ; 4 ; 45 ; Match ; 0 ; 3. ; 10,2 ; j ; -335,5 ; 508,1 ; 608,87 ; 123,437 ; 18:43:50 ; 173,1559 ; 16.07.2016 ; SpO 1.80 ; frei ; 
BeidenBestenTeiler ; <keine> ; 1 ; 1 ; 83 ; Match ; 0 ; 3. ; 9,8 ; i ; -60,9 ; -906,1 ; 908,14 ; 266,155 ; 18:55:29 ; 153,1716 ; 16.07.2016 ; SpO 1.80 ; frei ; 
BeidenBestenTeiler ; <keine> ; 1 ; 4 ; 45 ; Match ; 0 ; 4. ; 10 ; f ; -754,8 ; -108,9 ; 762,62 ; 188,21 ; 18:44:16 ; 199,7499 ; 16.07.2016 ; SpO 1.80 ; frei ; 
BeidenBestenTeiler ; <keine> ; 1 ; 3 ; 52 ; Match ; 0 ; 10. ; 10 ; j ; -511,5 ; 610,5 ; 796,46 ; 129,958 ; 18:21:28 ; 270,8586 ; 16.07.2016 ; SpO 1.80 ; frei ; 
BeidenBestenTeiler ; <keine> ; 1 ; 1 ; 83 ; Match ; 0 ; 4. ; 7,7 ; i ; 338,5 ; -2598,6 ; 2620,55 ; 277,422 ; 18:56:06 ; 190,0466 ; 16.07.2016 ; SpO 1.80 ; frei ; 
BeidenBestenTeiler ; <keine> ; 1 ; 4 ; 45 ; Match ; 0 ; 5. ; 9,8 ; l ; -609,9 ; -683,1 ; 915,75 ; 228,24 ; 18:44:46 ; 229,7029 ; 16.07.2016 ; SpO 1.80 ; frei ; 
BeidenBestenTeiler ; <keine> ; 1 ; 1 ; 83 ; Match ; 0 ; 5. ; 9,4 ; i ; 229,8 ; -1237,1 ; 1258,26 ; 280,523 ; 18:56:49 ; 232,9996 ; 16.07.2016 ; SpO 1.80 ; frei ; 
BeidenBestenTeiler ; <keine> ; 1 ; 4 ; 45 ; Match ; 0 ; 6. ; 10,1 ; i ; -31,7 ; -522,3 ; 523,08 ; 267,175 ; 18:45:31 ; 274,3119 ; 16.07.2016 ; SpO 1.80 ; frei ; 
BeidenBestenTeiler ; <keine> ; 1 ; 1 ; 83 ; Match ; 0 ; 6. ; 9,3 ; m ; 1083,4 ; -740,5 ; 1312,29 ; 325,528 ; 18:57:24 ; 267,8746 ; 16.07.2016 ; SpO 1.80 ; frei ; 
BeidenBestenTeiler ; <keine> ; 1 ; 4 ; 45 ; Match ; 0 ; 7. ; 10,3 ; l ; -261,8 ; -458,6 ; 528,07 ; 240,279 ; 18:46:00 ; 303,6559 ; 16.07.2016 ; SpO 1.80 ; frei ; 
BeidenBestenTeiler ; <keine> ; 1 ; 3 ; 52 ; Match ; 0 ; 1. ; 9,2 ; h ; -346 ; 1371,6 ; 1414,57 ; 104,158 ; 18:23:12 ; 34,70313 ; 16.07.2016 ; SpO 1.80 ; frei ; 
BeidenBestenTeiler ; <keine> ; 1 ; 3 ; 52 ; Match ; 0 ; 5. ; 9,6 ; m ; 875,9 ; -573,3 ; 1046,84 ; 326,794 ; 18:24:48 ; 130,4531 ; 16.07.2016 ; SpO 1.80 ; frei ; 
BeidenBestenTeiler ; <keine> ; 1 ; 1 ; 83 ; Match ; 0 ; 9. ; 9,4 ; h ; 272,8 ; 1225,1 ; 1255,11 ; 77,446 ; 18:59:15 ; 378,6246 ; 16.07.2016 ; SpO 1.80 ; frei ; 
BeidenBestenTeiler ; <keine> ; 1 ; 4 ; 45 ; Match ; 0 ; 10. ; 9,7 ; i ; -354,6 ; -894,2 ; 961,94 ; 248,369 ; 18:47:57 ; 420,4999 ; 16.07.2016 ; SpO 1.80 ; frei ; 
BeidenBestenTeiler ; <keine> ; 1 ; 3 ; 52 ; Match ; 0 ; 6. ; 7,7 ; h ; -866,3 ; 2473,4 ; 2620,72 ; 109,303 ; 18:25:13 ; 155,4371 ; 16.07.2016 ; SpO 1.80 ; frei ; 
BeidenBestenTeiler ; <keine> ; 1 ; 1 ; 83 ; Match ; 0 ; 10. ; 8,7 ; h ; -450,4 ; 1746,4 ; 1803,54 ; 104,462 ; 18:59:41 ; 405,2186 ; 16.07.2016 ; SpO 1.80 ; frei ; 
BeidenBestenTeiler ; <keine> ; 1 ; 3 ; 52 ; Match ; 0 ; 7. ; 9,9 ; k ; 504,2 ; 657,8 ; 828,81 ; 52,53 ; 18:25:37 ; 179,4531 ; 16.07.2016 ; SpO 1.80 ; frei ; 
BeidenBestenTeiler ; <keine> ; 1 ; 4 ; 45 ; Match ; 0 ; 6. ; 10,4 ; k ; 358,7 ; 318,9 ; 479,96 ; 41,638 ; 18:52:02 ; 210,7529 ; 16.07.2016 ; SpO 1.80 ; frei ; 
BeidenBestenTeiler ; <keine> ; 1 ; 1 ; 33 ; Match ; 0 ; 5. ; 10 ; h ; -299,3 ; 739,1 ; 797,4 ; 112,046 ; 19:03:43 ; 170,2341 ; 16.07.2016 ; SpO 1.80 ; frei ; 
BeidenBestenTeiler ; <keine> ; 1 ; 1 ; 33 ; Match ; 0 ; 6. ; 10,4 ; k ; 268,1 ; 379,5 ; 452,65 ; 54,76 ; 19:04:08 ; 195,2181 ; 16.07.2016 ; SpO 1.80 ; frei ; 
BeidenBestenTeiler ; <keine> ; 1 ; 3 ; 3 ; Match ; 0 ; 4. ; 8,4 ; j ; -1137,6 ; 1698 ; 2043,85 ; 123,821 ; 18:29:52 ; 152,953 ; 16.07.2016 ; SpO 1.80 ; frei ; 
BeidenBestenTeiler ; <keine> ; 1 ; 4 ; 45 ; Match ; 0 ; 7. ; 9,4 ; h ; 444,6 ; 1160,3 ; 1242,56 ; 69,034 ; 18:52:42 ; 250,7969 ; 16.07.2016 ; SpO 1.80 ; frei ; 
BeidenBestenTeiler ; <keine> ; 1 ; 1 ; 33 ; Match ; 0 ; 7. ; 9 ; m ; 1307,8 ; -814,6 ; 1540,75 ; 328,082 ; 19:04:35 ; 222,7811 ; 16.07.2016 ; SpO 1.80 ; frei ; 
BeidenBestenTeiler ; <keine> ; 1 ; 4 ; 45 ; Match ; 0 ; 8. ; 10 ; g ; 762,3 ; 233,2 ; 797,17 ; 17,01 ; 18:53:12 ; 280,9369 ; 16.07.2016 ; SpO 1.80 ; frei ; 
BeidenBestenTeiler ; <keine> ; 1 ; 3 ; 3 ; Match ; 0 ; 5. ; 9,8 ; f ; -873,3 ; 358,6 ; 944,06 ; 157,676 ; 18:30:27 ; 187,078 ; 16.07.2016 ; SpO 1.80 ; frei ; 
BeidenBestenTeiler ; <keine> ; 1 ; 1 ; 33 ; Match ; 0 ; 8. ; 10,1 ; m ; 591,3 ; -354,2 ; 689,27 ; 329,078 ; 19:05:19 ; 267,0311 ; 16.07.2016 ; SpO 1.80 ; frei ; 
BeidenBestenTeiler ; <keine> ; 1 ; 3 ; 3 ; Match ; 0 ; 6. ; 10 ; h ; 202,4 ; 746,7 ; 773,65 ; 74,834 ; 18:31:17 ; 237,859 ; 16.07.2016 ; SpO 1.80 ; frei ; 
BeidenBestenTeiler ; <keine> ; 1 ; 4 ; 45 ; Match ; 0 ; 9. ; 10,4 ; g ; 423,7 ; 48,4 ; 426,46 ; 6,517 ; 18:54:10 ; 338,8749 ; 16.07.2016 ; SpO 1.80 ; frei ; 
BeidenBestenTeiler ; <keine> ; 1 ; 1 ; 33 ; Match ; 0 ; 9. ; 9 ; i ; -385,5 ; -1508 ; 1556,49 ; 255,66 ; 19:06:00 ; 307,6091 ; 16.07.2016 ; SpO 1.80 ; frei ; 
BeidenBestenTeiler ; <keine> ; 1 ; 1 ; 33 ; Match ; 0 ; 10. ; 10,2 ; m ; 490,3 ; -339,9 ; 596,6 ; 325,268 ; 19:06:19 ; 326,7181 ; 16.07.2016 ; SpO 1.80 ; frei ; 
BeidenBestenTeiler ; <keine> ; 1 ; 3 ; 3 ; Match ; 0 ; 7. ; 10,5 ; R ; -337,1 ; 161,7 ; 373,88 ; 154,374 ; 18:31:59 ; 279,015 ; 16.07.2016 ; SpO 1.80 ; frei ; 
